@relation ar3_numericdefects

@attribute total_loc numeric
@attribute blank_loc numeric
@attribute comment_loc numeric
@attribute code_and_comment_loc numeric
@attribute executable_loc numeric
@attribute unique_operands numeric
@attribute unique_operators numeric
@attribute total_operands numeric
@attribute total_operators numeric
@attribute halstead_vocabulary numeric
@attribute halstead_length numeric
@attribute halstead_volume numeric
@attribute halstead_level numeric
@attribute halstead_difficulty numeric
@attribute halstead_effort numeric
@attribute halstead_error numeric
@attribute halstead_time numeric
@attribute branch_count numeric
@attribute decision_count numeric
@attribute call_pairs numeric
@attribute condition_count numeric
@attribute multiple_condition_count numeric
@attribute cyclomatic_complexity numeric
@attribute cyclomatic_density numeric
@attribute decision_density numeric
@attribute design_complexity numeric
@attribute design_density numeric
@attribute normalized_cyclomatic_complexity numeric
@attribute formal_parameters numeric
@attribute defects numeric

@data 
285,78,40,3,167,36,15,295,355,51,650,2555,0.02,50,127750,0.85,7097.22,40,20,109,20,3,15,0.09,1,109,7.27,0.05,0,0
61,21,7,1,33,24,10,73,83,34,156,550,0.07,14.29,7857.14,0.18,436.51,6,3,10,3,0,4,0.12,1,10,2.5,0.07,0,0
16,5,0,0,11,12,5,22,23,17,45,127,0.22,4.55,577.27,0.04,32.07,0,0,1,0,0,1,0.09,0,1,1,0.06,1,0
17,6,0,0,11,12,5,22,23,17,45,127,0.22,4.55,577.27,0.04,32.07,0,0,1,0,0,1,0.09,0,1,1,0.06,1,0
29,8,1,1,20,15,10,38,44,25,82,263,0.08,12.5,3287.5,0.09,182.64,2,1,1,0,0,2,0.1,0,1,0.5,0.07,2,0
82,31,7,4,44,25,11,57,91,36,148,530,0.08,12.5,6625,0.18,368.06,24,12,2,11,3,10,0.23,1.09,2,0.2,0.12,0,0
74,21,10,4,43,30,10,58,91,40,149,549,0.1,10,5490,0.18,305,28,14,2,14,3,12,0.28,1,2,0.17,0.16,0,0
77,30,13,4,34,50,16,87,108,66,195,816,0.07,14.29,11657.14,0.27,647.62,24,12,3,12,4,9,0.26,1,3,0.33,0.12,0,0
76,19,2,1,55,57,19,118,155,76,273,1182,0.05,20,23640,0.39,1313.33,46,23,25,23,10,14,0.25,1,25,1.79,0.18,0,0
23,5,0,0,18,22,6,67,69,28,136,453,0.11,9.09,4118.18,0.15,228.79,4,2,24,2,1,2,0.11,1,24,12,0.09,0,0
19,5,0,0,14,14,13,26,33,27,59,194,0.08,12.5,2425,0.06,134.72,4,2,0,1,0,3,0.21,2,0,0,0.16,0,0
128,42,21,3,65,67,13,83,134,80,217,950,0.12,8.33,7916.67,0.32,439.82,26,13,24,12,1,12,0.18,1.08,24,2,0.09,0,0
115,42,4,1,69,44,19,117,155,63,272,1126,0.04,25,28150,0.38,1563.89,24,12,10,12,2,10,0.14,1,10,1,0.09,0,0
117,40,17,4,60,52,14,82,126,66,208,871,0.09,11.11,9677.78,0.29,537.65,26,13,16,12,1,12,0.2,1.08,16,1.33,0.1,0,0
91,21,18,0,52,74,5,102,104,79,206,900,0.29,3.45,3103.45,0.3,172.41,0,0,0,0,0,1,0.02,0,0,0,0.01,0,0
57,0,36,0,21,30,4,35,37,34,72,253,0.43,2.33,588.37,0.08,32.69,0,0,0,0,0,1,0.05,0,0,0,0.02,0,0
18,5,6,0,7,15,7,28,39,22,67,207,0.15,6.67,1380,0.07,76.67,16,8,0,8,0,9,1.29,1,0,0,0.5,0,0
91,26,14,0,51,68,14,142,167,82,309,1361,0.07,14.29,19442.86,0.45,1080.16,32,16,20,16,0,17,0.33,1,20,1.18,0.19,0,0
31,3,1,0,27,29,5,62,64,34,126,444,0.19,5.26,2336.84,0.15,129.82,0,0,11,0,0,1,0.04,0,11,11,0.03,0,0
18,4,0,0,14,20,6,32,34,26,66,215,0.21,4.76,1023.81,0.07,56.88,0,0,6,0,0,1,0.07,0,6,6,0.06,0,1
26,10,0,0,16,21,13,45,55,34,100,352,0.07,14.29,5028.57,0.12,279.37,8,4,0,3,0,5,0.31,1.33,0,0,0.19,1,0
11,4,0,0,7,11,8,23,29,19,52,153,0.12,8.33,1275,0.05,70.83,8,4,1,4,0,5,0.71,1,1,0.2,0.45,0,0
31,10,0,0,21,18,8,36,46,26,82,267,0.13,7.69,2053.85,0.09,114.1,8,4,2,4,1,4,0.19,1,2,0.5,0.13,0,0
17,7,2,1,8,13,7,17,20,20,37,110,0.22,4.55,500,0.04,27.78,2,1,1,0,0,2,0.25,0,1,0.5,0.12,1,0
115,32,29,2,54,65,13,183,229,78,412,1794,0.05,20,35880,0.6,1993.33,100,50,1,50,23,28,0.52,1,1,0.04,0.24,0,0
62,19,12,0,31,45,13,130,161,58,291,1181,0.05,20,23620,0.39,1312.22,68,34,1,34,15,20,0.65,1,1,0.05,0.32,0,0
58,18,5,0,35,24,14,50,74,38,124,451,0.07,14.29,6442.86,0.15,357.94,16,8,3,8,2,7,0.2,1,3,0.43,0.12,0,0
6,2,0,0,4,8,6,9,10,14,19,50,0.3,3.33,166.67,0.02,9.26,0,0,1,0,0,1,0.25,0,1,1,0.17,0,0
5,1,0,0,4,7,5,8,9,12,17,42,0.35,2.86,120,0.01,6.67,0,0,0,0,0,1,0.25,0,0,0,0.2,0,0
155,36,16,4,103,69,29,207,320,98,527,2416,0.02,50,120800,0.81,6711.11,70,35,0,32,3,32,0.31,1.09,0,0,0.21,0,0
42,8,3,1,31,18,11,42,61,29,103,346,0.08,12.5,4325,0.12,240.28,16,8,0,8,4,5,0.16,1,0,0,0.12,0,0
445,109,64,11,272,99,19,477,693,118,1170,5581,0.02,50,279050,1.86,15502.78,208,104,18,104,26,79,0.29,1,18,0.23,0.18,0,9
43,9,7,4,27,25,14,51,75,39,126,461,0.07,14.29,6585.71,0.15,365.87,28,14,5,14,6,9,0.33,1,5,0.56,0.21,0,2
181,54,24,2,103,115,24,273,341,139,614,3029,0.04,25,75725,1.01,4206.94,86,43,4,43,10,34,0.33,1,4,0.12,0.19,0,1
131,29,12,4,90,66,26,164,244,92,408,1844,0.03,33.33,61466.67,0.61,3414.82,74,37,9,35,6,31,0.34,1.06,9,0.29,0.24,0,0
15,3,0,0,12,13,11,18,29,24,47,149,0.13,7.69,1146.15,0.05,63.68,8,4,1,4,0,5,0.42,1,1,0.2,0.33,0,0
112,29,10,4,73,40,17,112,170,57,282,1140,0.04,25,28500,0.38,1583.33,64,32,0,32,6,26,0.36,1,0,0,0.23,0,0
670,81,195,31,394,142,27,575,817,169,1392,7140,0.02,50,357000,2.38,19833.33,244,122,13,122,33,85,0.22,1,13,0.15,0.13,0,4
173,59,22,6,92,77,31,277,352,108,629,2945,0.02,50,147250,0.98,8180.56,108,54,0,53,14,40,0.43,1.02,0,0,0.23,0,14
114,32,12,3,70,46,23,134,180,69,314,1329,0.03,33.33,44300,0.44,2461.11,56,28,1,27,7,22,0.31,1.04,1,0.05,0.19,0,0
148,41,5,0,102,42,16,147,208,58,355,1441,0.04,25,36025,0.48,2001.39,48,24,0,24,7,18,0.18,1,0,0,0.12,0,0
10,0,0,0,10,11,7,30,38,18,68,196,0.1,10,1960,0.07,108.89,24,12,1,12,6,7,0.7,1,1,0.14,0.7,0,0
333,94,53,9,186,56,18,352,469,74,821,3533,0.02,50,176650,1.18,9813.89,114,57,23,56,15,40,0.22,1.02,23,0.57,0.12,0,2
