$total_loc,$blank_loc,$comment_loc,$code_and_comment_loc,$executable_loc,$unique_operands,$unique_operators,$total_operands,$total_operators,$halstead_vocabulary,$halstead_length,$halstead_volume,$halstead_level,$halstead_difficulty,$halstead_effort,$halstead_error,$halstead_time,$branch_count,$decision_count,$call_pairs,$condition_count,$multiple_condition_count,$cyclomatic_complexity,$cyclomatic_density,$decision_density,$design_complexity,$design_density,$normalized_cyclomatic_complexity,$formal_parameters,$>defects
10.0,4.0,0.0,0.0,6.0,9.0,6.0,24.0,23.0,15.0,47.0,127.0,0.13,7.69,976.92,0.04,54.27,0.0,0.0,3.0,0.0,0.0,1.0,0.17,0.0,3.0,3.0,0.1,2.0,0.0
23.0,5.0,1.0,0.0,17.0,15.0,10.0,43.0,58.0,25.0,101.0,325.0,0.07,14.29,4642.86,0.11,257.94,16.0,8.0,4.0,8.0,4.0,5.0,0.29,1.0,4.0,0.8,0.22,1.0,0.0
86.0,22.0,8.0,3.0,56.0,31.0,11.0,76.0,113.0,42.0,189.0,706.0,0.07,14.29,10085.71,0.24,560.32,24.0,12.0,3.0,11.0,4.0,9.0,0.16,1.09,3.0,0.33,0.1,0.0,0.0
115.0,17.0,1.0,1.0,97.0,35.0,16.0,154.0,204.0,51.0,358.0,1407.0,0.03,33.33,46900.0,0.47,2605.56,52.0,26.0,2.0,25.0,4.0,21.0,0.22,1.04,2.0,0.1,0.18,0.0,0.0
150.0,43.0,5.0,1.0,102.0,79.0,16.0,184.0,229.0,95.0,413.0,1880.0,0.05,20.0,37600.0,0.63,2088.89,48.0,24.0,13.0,21.0,7.0,18.0,0.18,1.14,13.0,0.72,0.12,0.0,3.0
47.0,14.0,17.0,0.0,16.0,45.0,5.0,50.0,52.0,50.0,102.0,399.0,0.36,2.78,1108.33,0.13,61.57,0.0,0.0,0.0,0.0,0.0,1.0,0.06,0.0,0.0,0.0,0.02,0.0,0.0
35.0,13.0,15.0,0.0,7.0,26.0,4.0,29.0,31.0,30.0,60.0,204.0,0.45,2.22,453.33,0.07,25.19,0.0,0.0,0.0,0.0,0.0,1.0,0.14,0.0,0.0,0.0,0.03,0.0,0.0
65.0,18.0,9.0,0.0,38.0,43.0,10.0,92.0,110.0,53.0,202.0,801.0,0.09,11.11,8900.0,0.27,494.44,20.0,10.0,14.0,10.0,0.0,11.0,0.29,1.0,14.0,1.27,0.17,0.0,0.0
29.0,4.0,1.0,0.0,24.0,27.0,5.0,55.0,57.0,32.0,112.0,388.0,0.2,5.0,1940.0,0.13,107.78,0.0,0.0,10.0,0.0,0.0,1.0,0.04,0.0,10.0,10.0,0.03,0.0,0.0
42.0,13.0,0.0,0.0,29.0,27.0,14.0,65.0,85.0,41.0,150.0,557.0,0.06,16.67,9283.33,0.19,515.74,18.0,9.0,0.0,8.0,2.0,8.0,0.28,1.13,0.0,0.0,0.19,0.0,0.0
14.0,3.0,0.0,0.0,11.0,14.0,7.0,34.0,43.0,21.0,77.0,234.0,0.12,8.33,1950.0,0.08,108.33,26.0,13.0,1.0,13.0,6.0,8.0,0.73,1.0,1.0,0.13,0.57,0.0,0.0
29.0,8.0,0.0,0.0,21.0,18.0,8.0,36.0,46.0,26.0,82.0,267.0,0.13,7.69,2053.85,0.09,114.1,8.0,4.0,2.0,4.0,1.0,4.0,0.19,1.0,2.0,0.5,0.14,0.0,0.0
151.0,38.0,13.0,4.0,100.0,64.0,28.0,189.0,285.0,92.0,474.0,2143.0,0.02,50.0,107150.0,0.71,5952.78,64.0,32.0,0.0,29.0,3.0,29.0,0.29,1.1,0.0,0.0,0.19,0.0,0.0
42.0,8.0,3.0,0.0,31.0,18.0,11.0,40.0,59.0,29.0,99.0,333.0,0.08,12.5,4162.5,0.11,231.25,16.0,8.0,0.0,8.0,4.0,5.0,0.16,1.0,0.0,0.0,0.12,0.0,0.0
208.0,38.0,28.0,4.0,142.0,70.0,17.0,259.0,371.0,87.0,630.0,2813.0,0.03,33.33,93766.67,0.94,5209.26,104.0,52.0,17.0,52.0,12.0,41.0,0.29,1.0,17.0,0.41,0.2,0.0,4.0
48.0,9.0,8.0,4.0,31.0,28.0,14.0,56.0,88.0,42.0,144.0,538.0,0.07,14.29,7685.71,0.18,426.98,32.0,16.0,6.0,16.0,5.0,12.0,0.39,1.0,6.0,0.5,0.25,0.0,0.0
135.0,44.0,20.0,2.0,71.0,87.0,23.0,203.0,258.0,110.0,461.0,2166.0,0.04,25.0,54150.0,0.72,3008.33,70.0,35.0,4.0,35.0,10.0,26.0,0.37,1.0,4.0,0.15,0.19,0.0,1.0
125.0,25.0,12.0,4.0,88.0,62.0,27.0,153.0,229.0,89.0,382.0,1714.0,0.03,33.33,57133.33,0.57,3174.07,70.0,35.0,9.0,33.0,6.0,29.0,0.33,1.06,9.0,0.31,0.23,0.0,2.0
14.0,2.0,0.0,0.0,12.0,13.0,11.0,18.0,29.0,24.0,47.0,149.0,0.13,7.69,1146.15,0.05,63.68,8.0,4.0,1.0,4.0,0.0,5.0,0.42,1.0,1.0,0.2,0.36,0.0,0.0
147.0,32.0,10.0,4.0,105.0,46.0,17.0,165.0,247.0,63.0,412.0,1706.0,0.03,33.33,56866.67,0.57,3159.26,92.0,46.0,0.0,46.0,8.0,38.0,0.36,1.0,0.0,0.0,0.26,0.0,0.0
214.0,55.0,38.0,8.0,121.0,71.0,23.0,221.0,309.0,94.0,530.0,2407.0,0.03,33.33,80233.33,0.8,4457.41,108.0,54.0,4.0,54.0,17.0,37.0,0.31,1.0,4.0,0.11,0.17,0.0,3.0
112.0,23.0,7.0,3.0,82.0,35.0,23.0,226.0,305.0,58.0,531.0,2156.0,0.01,100.0,215600.0,0.72,11977.78,90.0,45.0,1.0,43.0,15.0,30.0,0.37,1.05,1.0,0.03,0.27,0.0,0.0
110.0,29.0,11.0,3.0,70.0,48.0,23.0,135.0,182.0,71.0,317.0,1351.0,0.03,33.33,45033.33,0.45,2501.85,54.0,27.0,1.0,26.0,7.0,21.0,0.3,1.04,1.0,0.05,0.19,0.0,1.0
49.0,14.0,7.0,3.0,28.0,23.0,16.0,53.0,74.0,39.0,127.0,465.0,0.05,20.0,9300.0,0.16,516.67,22.0,11.0,0.0,11.0,3.0,9.0,0.32,1.0,0.0,0.0,0.18,0.0,1.0
